parameter,mean_result
{'C': 0.1},0.8089079271626947
{'C': 1},0.8077146818244431
{'C': 5},0.8074683308769398
{'C': 8},0.8074483985975333
{'C': 9},0.8074435840626135
{'C': 10},0.8074389042901151
{'C': 11},0.8074368978152686
{'C': 12},0.8074336889625819
{'C': 13},0.8074291431880498
{'C': 14},0.8074268707922186
{'C': 16},0.8074232596180095
{'C': 18},0.807420852787381
{'C': 20},0.8074177773866216
{'C': 0.1},0.7744705315966363
{'C': 1},0.7424421116095241
{'C': 5},0.7343665529270961
{'C': 8},0.7338411168687297
{'C': 9},0.7337770073054155
{'C': 10},0.7337301272377506
{'C': 11},0.7336920602392687
{'C': 12},0.7336632099419863
{'C': 13},0.7336438454339141
{'C': 14},0.7336228738239076
{'C': 16},0.7335948243473975
{'C': 18},0.7335775949609558
{'C': 20},0.7335638398021467
{'C': 0.1},0.7697510114662179
{'C': 1},0.7369587026554424
{'C': 5},0.7313959165634792
{'C': 8},0.7311210869972365
{'C': 9},0.731078487304007
{'C': 10},0.7310461699188334
{'C': 11},0.7310191935598841
{'C': 12},0.730995823526482
{'C': 13},0.7309761932487417
{'C': 14},0.7309582982176283
{'C': 16},0.7309353283653794
{'C': 18},0.7309198382428339
{'C': 20},0.7309083536442794
{'C': 0.1},0.781898736615717
{'C': 1},0.750919394962225
{'C': 5},0.7443460087469603
{'C': 8},0.7439690203026057
{'C': 9},0.7439260196638934
{'C': 10},0.7438856907939779
{'C': 11},0.7438564454679438
{'C': 12},0.7438337433494435
{'C': 13},0.7438166493357763
{'C': 14},0.7438043629554458
{'C': 16},0.7437805924133207
{'C': 18},0.7437629660986653
{'C': 20},0.7437446706680187
{'C': 0.1},0.7794491049377772
{'C': 1},0.7473316260279768
{'C': 5},0.7419678024713201
{'C': 8},0.7416963066925185
{'C': 9},0.7416562439185022
{'C': 10},0.7416287334023354
{'C': 11},0.7416022908730336
{'C': 12},0.7415846625929593
{'C': 13},0.741568236166624
{'C': 14},0.7415560835439778
{'C': 16},0.7415352493378892
{'C': 18},0.7415212269466023
{'C': 20},0.741510943983407
