2lr,3colsample,4max_depth,5gamma,6reg_l2,7reg_l1,8AUC
0.1,0.8,16,2,1.0,1.0,0.8678152951699464
0.1,0.8,16,2,1.0,0.5,0.8678152951699464
0.1,0.8,16,2,1.0,0.0,0.8678152951699464
0.1,0.8,16,2,0.5,1.0,0.8678152951699464
0.1,0.8,16,2,0.5,0.5,0.8678152951699464
0.1,0.8,16,2,0.5,0.0,0.8678152951699464
0.1,0.8,16,2,0.0,1.0,0.8678152951699464
0.1,0.8,16,2,0.0,0.5,0.8678152951699464
0.1,0.8,16,2,0.0,0.0,0.8678152951699464
0.1,0.8,16,1,1.0,1.0,0.8678152951699464
0.1,0.8,16,1,1.0,0.5,0.8678152951699464
0.1,0.8,16,1,1.0,0.0,0.8678152951699464
0.1,0.8,16,1,0.5,1.0,0.8678152951699464
0.1,0.8,16,1,0.5,0.5,0.8678152951699464
0.1,0.8,16,1,0.5,0.0,0.8678152951699464
0.1,0.8,16,1,0.0,1.0,0.8678152951699464
0.1,0.8,16,1,0.0,0.5,0.8678152951699464
0.1,0.8,16,1,0.0,0.0,0.8678152951699464
0.1,0.8,16,0,1.0,1.0,0.8678152951699464
0.1,0.8,16,0,1.0,0.5,0.8678152951699464
0.1,0.8,16,0,1.0,0.0,0.8678152951699464
0.1,0.8,16,0,0.5,1.0,0.8678152951699464
0.1,0.8,16,0,0.5,0.5,0.8678152951699464
0.1,0.8,16,0,0.5,0.0,0.8678152951699464
0.1,0.8,16,0,0.0,1.0,0.8678152951699464
0.1,0.8,16,0,0.0,0.5,0.8678152951699464
0.1,0.8,16,0,0.0,0.0,0.8678152951699464
0.1,0.8,12,2,1.0,1.0,0.8714940369707812
0.1,0.8,12,2,1.0,0.5,0.8714940369707812
0.1,0.8,12,2,1.0,0.0,0.8714940369707812
0.1,0.8,12,2,0.5,1.0,0.8714940369707812
0.1,0.8,12,2,0.5,0.5,0.8714940369707812
0.1,0.8,12,2,0.5,0.0,0.8714940369707812
0.1,0.8,12,2,0.0,1.0,0.8714940369707812
0.1,0.8,12,2,0.0,0.5,0.8714940369707812
0.1,0.8,12,2,0.0,0.0,0.8714940369707812
0.1,0.8,12,1,1.0,1.0,0.8714940369707812
0.1,0.8,12,1,1.0,0.5,0.8714940369707812
0.1,0.8,12,1,1.0,0.0,0.8714940369707812
0.1,0.8,12,1,0.5,1.0,0.8714940369707812
0.1,0.8,12,1,0.5,0.5,0.8714940369707812
0.1,0.8,12,1,0.5,0.0,0.8714940369707812
0.1,0.8,12,1,0.0,1.0,0.8714940369707812
0.1,0.8,12,1,0.0,0.5,0.8714940369707812
0.1,0.8,12,1,0.0,0.0,0.8714940369707812
0.1,0.8,12,0,1.0,1.0,0.8714940369707812
0.1,0.8,12,0,1.0,0.5,0.8714940369707812
0.1,0.8,12,0,1.0,0.0,0.8714940369707812
0.1,0.8,12,0,0.5,1.0,0.8714940369707812
0.1,0.8,12,0,0.5,0.5,0.8714940369707812
0.1,0.8,12,0,0.5,0.0,0.8714940369707812
0.1,0.8,12,0,0.0,1.0,0.8714940369707812
0.1,0.8,12,0,0.0,0.5,0.8714940369707812
0.1,0.8,12,0,0.0,0.0,0.8714940369707812
0.1,0.8,8,2,1.0,1.0,0.8745942158616578
0.1,0.8,8,2,1.0,0.5,0.8745942158616578
0.1,0.8,8,2,1.0,0.0,0.8745942158616578
0.1,0.8,8,2,0.5,1.0,0.8745942158616578
0.1,0.8,8,2,0.5,0.5,0.8745942158616578
0.1,0.8,8,2,0.5,0.0,0.8745942158616578
0.1,0.8,8,2,0.0,1.0,0.8745942158616578
0.1,0.8,8,2,0.0,0.5,0.8745942158616578
0.1,0.8,8,2,0.0,0.0,0.8745942158616578
0.1,0.8,8,1,1.0,1.0,0.8745942158616578
0.1,0.8,8,1,1.0,0.5,0.8745942158616578
0.1,0.8,8,1,1.0,0.0,0.8745942158616578
0.1,0.8,8,1,0.5,1.0,0.8745942158616578
0.1,0.8,8,1,0.5,0.5,0.8745942158616578
0.1,0.8,8,1,0.5,0.0,0.8745942158616578
0.1,0.8,8,1,0.0,1.0,0.8745942158616578
0.1,0.8,8,1,0.0,0.5,0.8745942158616578
0.1,0.8,8,1,0.0,0.0,0.8745942158616578
0.1,0.8,8,0,1.0,1.0,0.8745942158616578
0.1,0.8,8,0,1.0,0.5,0.8745942158616578
0.1,0.8,8,0,1.0,0.0,0.8745942158616578
0.1,0.8,8,0,0.5,1.0,0.8745942158616578
0.1,0.8,8,0,0.5,0.5,0.8745942158616578
0.1,0.8,8,0,0.5,0.0,0.8745942158616578
0.1,0.8,8,0,0.0,1.0,0.8745942158616578
0.1,0.8,8,0,0.0,0.5,0.8745942158616578
0.1,0.8,8,0,0.0,0.0,0.8745942158616578
0.1,0.8,4,2,1.0,1.0,0.8760857185450208
0.1,0.8,4,2,1.0,0.5,0.8760857185450208
0.1,0.8,4,2,1.0,0.0,0.8760857185450208
0.1,0.8,4,2,0.5,1.0,0.8760857185450208
0.1,0.8,4,2,0.5,0.5,0.8760857185450208
0.1,0.8,4,2,0.5,0.0,0.8760857185450208
0.1,0.8,4,2,0.0,1.0,0.8760857185450208
0.1,0.8,4,2,0.0,0.5,0.8760857185450208
0.1,0.8,4,2,0.0,0.0,0.8760857185450208
0.1,0.8,4,1,1.0,1.0,0.8760857185450208
0.1,0.8,4,1,1.0,0.5,0.8760857185450208
0.1,0.8,4,1,1.0,0.0,0.8760857185450208
0.1,0.8,4,1,0.5,1.0,0.8760857185450208
0.1,0.8,4,1,0.5,0.5,0.8760857185450208
0.1,0.8,4,1,0.5,0.0,0.8760857185450208
0.1,0.8,4,1,0.0,1.0,0.8760857185450208
0.1,0.8,4,1,0.0,0.5,0.8760857185450208
0.1,0.8,4,1,0.0,0.0,0.8760857185450208
0.1,0.8,4,0,1.0,1.0,0.8760857185450208
0.1,0.8,4,0,1.0,0.5,0.8760857185450208
0.1,0.8,4,0,1.0,0.0,0.8760857185450208
0.1,0.8,4,0,0.5,1.0,0.8760857185450208
0.1,0.8,4,0,0.5,0.5,0.8760857185450208
0.1,0.8,4,0,0.5,0.0,0.8760857185450208
0.1,0.8,4,0,0.0,1.0,0.8760857185450208
0.1,0.8,4,0,0.0,0.5,0.8760857185450208
0.1,0.8,4,0,0.0,0.0,0.8760857185450208
0.1,0.5,16,2,1.0,1.0,0.8685429338103757
0.1,0.5,16,2,1.0,0.5,0.8685429338103757
0.1,0.5,16,2,1.0,0.0,0.8685429338103757
0.1,0.5,16,2,0.5,1.0,0.8685429338103757
0.1,0.5,16,2,0.5,0.5,0.8685429338103757
0.1,0.5,16,2,0.5,0.0,0.8685429338103757
0.1,0.5,16,2,0.0,1.0,0.8685429338103757
0.1,0.5,16,2,0.0,0.5,0.8685429338103757
0.1,0.5,16,2,0.0,0.0,0.8685429338103757
0.1,0.5,16,1,1.0,1.0,0.8685429338103757
0.1,0.5,16,1,1.0,0.5,0.8685429338103757
0.1,0.5,16,1,1.0,0.0,0.8685429338103757
0.1,0.5,16,1,0.5,1.0,0.8685429338103757
0.1,0.5,16,1,0.5,0.5,0.8685429338103757
0.1,0.5,16,1,0.5,0.0,0.8685429338103757
0.1,0.5,16,1,0.0,1.0,0.8685429338103757
0.1,0.5,16,1,0.0,0.5,0.8685429338103757
0.1,0.5,16,1,0.0,0.0,0.8685429338103757
0.1,0.5,16,0,1.0,1.0,0.8685429338103757
0.1,0.5,16,0,1.0,0.5,0.8685429338103757
0.1,0.5,16,0,1.0,0.0,0.8685429338103757
0.1,0.5,16,0,0.5,1.0,0.8685429338103757
0.1,0.5,16,0,0.5,0.5,0.8685429338103757
0.1,0.5,16,0,0.5,0.0,0.8685429338103757
0.1,0.5,16,0,0.0,1.0,0.8685429338103757
0.1,0.5,16,0,0.0,0.5,0.8685429338103757
0.1,0.5,16,0,0.0,0.0,0.8685429338103757
0.1,0.5,12,2,1.0,1.0,0.8726615980918305
0.1,0.5,12,2,1.0,0.5,0.8726615980918305
0.1,0.5,12,2,1.0,0.0,0.8726615980918305
0.1,0.5,12,2,0.5,1.0,0.8726615980918305
0.1,0.5,12,2,0.5,0.5,0.8726615980918305
0.1,0.5,12,2,0.5,0.0,0.8726615980918305
0.1,0.5,12,2,0.0,1.0,0.8726615980918305
0.1,0.5,12,2,0.0,0.5,0.8726615980918305
0.1,0.5,12,2,0.0,0.0,0.8726615980918305
0.1,0.5,12,1,1.0,1.0,0.8726615980918305
0.1,0.5,12,1,1.0,0.5,0.8726615980918305
0.1,0.5,12,1,1.0,0.0,0.8726615980918305
0.1,0.5,12,1,0.5,1.0,0.8726615980918305
0.1,0.5,12,1,0.5,0.5,0.8726615980918305
0.1,0.5,12,1,0.5,0.0,0.8726615980918305
0.1,0.5,12,1,0.0,1.0,0.8726615980918305
0.1,0.5,12,1,0.0,0.5,0.8726615980918305
0.1,0.5,12,1,0.0,0.0,0.8726615980918305
0.1,0.5,12,0,1.0,1.0,0.8726615980918305
0.1,0.5,12,0,1.0,0.5,0.8726615980918305
0.1,0.5,12,0,1.0,0.0,0.8726615980918305
0.1,0.5,12,0,0.5,1.0,0.8726615980918305
0.1,0.5,12,0,0.5,0.5,0.8726615980918305
0.1,0.5,12,0,0.5,0.0,0.8726615980918305
0.1,0.5,12,0,0.0,1.0,0.8726615980918305
0.1,0.5,12,0,0.0,0.5,0.8726615980918305
0.1,0.5,12,0,0.0,0.0,0.8726615980918305
0.1,0.5,8,2,1.0,1.0,0.8758595706618962
0.1,0.5,8,2,1.0,0.5,0.8758595706618962
0.1,0.5,8,2,1.0,0.0,0.8758595706618962
0.1,0.5,8,2,0.5,1.0,0.8758595706618962
0.1,0.5,8,2,0.5,0.5,0.8758595706618962
0.1,0.5,8,2,0.5,0.0,0.8758595706618962
0.1,0.5,8,2,0.0,1.0,0.8758595706618962
0.1,0.5,8,2,0.0,0.5,0.8758595706618962
0.1,0.5,8,2,0.0,0.0,0.8758595706618962
0.1,0.5,8,1,1.0,1.0,0.8758595706618962
0.1,0.5,8,1,1.0,0.5,0.8758595706618962
0.1,0.5,8,1,1.0,0.0,0.8758595706618962
0.1,0.5,8,1,0.5,1.0,0.8758595706618962
0.1,0.5,8,1,0.5,0.5,0.8758595706618962
0.1,0.5,8,1,0.5,0.0,0.8758595706618962
0.1,0.5,8,1,0.0,1.0,0.8758595706618962
0.1,0.5,8,1,0.0,0.5,0.8758595706618962
0.1,0.5,8,1,0.0,0.0,0.8758595706618962
0.1,0.5,8,0,1.0,1.0,0.8758595706618962
0.1,0.5,8,0,1.0,0.5,0.8758595706618962
0.1,0.5,8,0,1.0,0.0,0.8758595706618962
0.1,0.5,8,0,0.5,1.0,0.8758595706618962
0.1,0.5,8,0,0.5,0.5,0.8758595706618962
0.1,0.5,8,0,0.5,0.0,0.8758595706618962
0.1,0.5,8,0,0.0,1.0,0.8758595706618962
0.1,0.5,8,0,0.0,0.5,0.8758595706618962
0.1,0.5,8,0,0.0,0.0,0.8758595706618962
0.1,0.5,4,2,1.0,1.0,0.8755913834227789
0.1,0.5,4,2,1.0,0.5,0.8755913834227789
0.1,0.5,4,2,1.0,0.0,0.8755913834227789
